ID,GID,GNAME,SOUNDBITE,DESCRIPTION,NOTES,KEYWORDS,RANK,LEVEL
11,10,Articulate Identity,Who you are isn't natural,"Understand ""your"" identity as ""unnatural,"" as an aggregation (or aggression of some oppressor) of potential and shifting positions, all more or less culturally determined. Then question the source of that identity -- where did that meaning originate? What are the consequences?","I suppose we have to bring up the father ... who is no more the ""real"" father than you are his reality any more.<br><br>See the concept of drawing negative space (don't try to draw ""the chair"", draw the space around it).","{identity, oppression, liberation, history}",7,2
12,10,Articulate Identity,Interrogate the I,Drown the I in its own geneological complexity. Too many slave-owning ancestors? Let's talk about trees! /s,"When the shame and complexity overwhelm--let yourself be lost. Keep the mess. You don't have to clean it up. You don't have to be ""right"".<br><br>You can't have empathy if you're being self-righteous.<br><br>That doesn't mean you have to accept the abuse.","{history, irony, abuse-structure}",8,3
13,20,Escape Community,Fuck Schools!,"Some readers make sense of poems by expecting them belong to a ""school"" of some sort, for example""accessible"" (written for a broad audience) or ""academic"" (requiring some prerequisite to understand). Naturally some editors and critics judge quality by how well their expectations are met within these and various other schools and sub-schools.<br><br>How tedious and limiting!","""School"" was a big word FIFTY YEARS AGO, c1970. Are they now?<br><br>So much of this is me getting bored with c1970.","{noschools, liberation}",4,
14,20,Escape Community,Ignore the Anxiety of Influence,"Every line reiterates the past at the same time that it presses into the future: knowledge vies with novelty, ability with practice, culture with chance.<br><br>What I'm getting at is psychological--worrying about doing the right thing impedes creativity.<br><br>What a WCMH version of aethetics: a war of domination between the individual and the community (defined as prior princes of domination to be challenged). Imagine _belonging_ to a community, leading by consent ...<br><br>Nothing kills the creative process faster than imagining a board of authorities (editors, ""successful"" poets) beating you over the head with themselves.<br><br>Courage is required.","That phrase is so twentieth century -- reference to a book by Harold Bloom published in 1973 when he was 43. According to Wikipedia [need to drill down] he coined the phrase ""school of resentment"" to describe feelings of those outside the Western Canon who'd like to, um, break in ... i.e. aesthetic ""quality"" is an abstract universal without regard to origin ... the drama of innovation is formal in nature ? ... this from (wikipedia again) ""the most influential English-language critic of the late 20th century"" (no citation)<br><br>And above all the whole ""culture war"" of the eighties--now clearly white supremacist in the context of Reaganism--SO BORING, so deep in the past already.<br><br>It's salaciously engaging to learn that Bloom liked to f(ondle) his female grad students, from which I conclude, 1) he was a man of his time, so typical 2) the same attitude applies to his criticism: I have the power, I'll trade you some for sex--that is, the WCMH canon will only let you in if you let it fuck you.","{community, history, masculinity, wcmh, courage}",4,
15,20,Escape Community,Escape Elitism,"Suspend evaluation [link] -- use the double hyphen for the m-dash that isn't on the keyboard--though there are ways to produce it. Oops, I digress.","Elitism is just the worst.<br><br>Even communities that strive for inclusion can be elitist. Universities, for example.<br><br>Something here about WCMHs in rural america reacting instinctively to neolib exclusion","{elitism, wcmh, authority}",4,
16,20,Escape Convolution,Avoid Using Grammatical Terms Just to Be Cool,You can attend to the medium without using words that are about the medium.,Hyperconscious awareness of language ought to be the sort of corral the wild horse will one day escape when the surly hungover club-footed cowboy of abstraction forgets to latch the gate.,{modernism},2,
17,20,Escape Identity,Let intention and randomness play,"""An intersectional analysis considers all the factors that apply to an individual in combination, rather than considering each factor in isolation.""",Wikipedia: intersectionality,"{identity, intersectionality}",2,
18,20,Escape Identity,Automate Desultory Tasks,Oulipo is awesome: The Form is a mechanical constraint on the automatic ... or just revising the material according to an idea ...,,"{materiality, oulipo}",3,
19,20,Escape Identity,"However, Meaning isn't Free","Imagine a poem that begins by asserting the poet's ""natural identity"" (more on that presently) and ends with an uplifting epiphany:<br><br>I am here observing the world and expressing what I see in words<br>...<br>and what I see is a metaphor for the sad yet meaningful passage of time.<br><br>Don't get me wrong, I like these kind of poems when they succeed ... it's just they hardly ever succeed for me anymore. It's like listening to song after song plagarize the same melody over and over.<br><br>I still like epiphanies btw.","Delight is often in the epiphany.<br><br>Epiphany _works_ when it leads out of expectation into otherness (this is the most important thing) and everything you ever knew or were expands and evaporates<br><br>What some call Joy, or better, the Sublime<br><br>Or otherness ... the epiphany twist at the end both embodies and subverts the prior description ... or tries, that whole device can be contextualized and subverted and at some point you become LOST IN CONVOLUTION which is okay ...","{epiphany, otherness, the_third, emotion, sublimity}",4,
20,20,Escape Identity,"Fragment Word, Syntax, Intention",How else to express the ineffable?,,"{materiality, sublimity}",4,
21,20,Escape Identity,Suspend Emotion,"Then Suspend Emotion; use generative devices or concepts to subvert your intention. ""Form invents content.""<br><br>Materiality is letting the body speak, too.","This is trying to get away from yourself, a most pleasant activity, again like the painter absorbed in the lines coming out of the brush.<br><br>Escape identity-as-body","{oulipo, materiality, painterly, liberation}",6,
22,20,Escape Identity,Express Emotion,Poetry thrives in the right-brain realm of feeling. No words without emotional validity. Not one!<br><br>This may involve a Recession of Reason. Suspend Evaluation.,Exercise the Whole Brain<br><br>https://lovepoetrysomuchithurts.blogspot.com/2020/12/chen-chens-twitter-thread-advising.html<br><br>Suspend evaluation means simultaneously escaping (oppressive) identity and constructing identity-as-body,"{emotion, mindfulness}",7,
23,20,Escape Identity,Remember the one who cannot be counted,"Reference to Eliot, the something beyond that comes out of _trauma_, near death, the strangeness, the otherness, <br><br>Not one or two, but the otherness beyond counting ...","This one is about finding meaning in trauma--not hiding it, and not reforming it either, but ""sublimating"" it, skipping a stage in the chemical reaction, transforming it into something beyond just meaning, because the meaning of trauma is always to feel pain, but here you're keeping the materiality of the pain and the meaning is still the pain ...","{trauma, otherness, sublimity, materiality, the_third}",7,
24,20,Escape Identity,Erase the I,"Paint a picture with no one it. ""Who Is the Dreamer Who Dreams the Dream?""<br><br>Do you try to erase it? ""Modernism"" is a ""school"" that tries to erase the I.",A project of Language Poetry?<br><br>Nirvana in Buddhism,{noself},8,
25,20,Escape Identity,Be Painterly,"Choose words the way a painter chooses a line. I mean like Twombley (""It's not described, it's happening ... The line is the feeling."")<br><br>Even a straight line represents straightness, lineness, the desire for purity, the desire to dissolve in the object, to represent something other than itself.<br><br>Okay, whiteness, reveling in emptiness, which it calls presence, erasing its shameful identity, and who can blame us.",,"{materiality, wcmh, painterly}",8,
26,20,Escape Identity,Materialize the I,"""I"" should be a ""character"" like ""I with diaeresis"" [&#207; or &#8146; or use floral_initial_i.jpg in /images]<br><br>This is a nice one too: http://theworldsgreatestbook.com/book-design-part-6/<br><br>Which leads to: https://storysailing.com/story-elements/","Typically, I spent more time researching interesting depictions of I's (not to mention eye-emoji), including licensing with payment the floral initial from 123RF.com, than I did on the content of the item (at one point thinking a smudge on the screen was some sort of diacritical mark that Excel had learned to insert whenever I typed ""I"")<br><br>In the beginning, of this sentence, is an I.<br><br>""In the beginning God created the heaven and the earth"" -- Genesis 1:1<br><br>""In the beginning was the Word"" -- John 1:1","{identity, materiality, nature, culture}",9,
27,20,Escape Oppression,Avoid Irony,Supercilious winking irony as is a disservice; it distances the naive reader from necessary affect.,,{noirony},5,
28,20,Escape Oppression,Don't Write Puzzles,"The most boring kind of poem is a puzzle. There's a trick to getting the meaning. I'm confused until I get the trick, then I'm bored. Or, worse, I never get the trick though I know there is one.",,{nopuzzles},5,
29,20,Escape Oppression,Liberation from Structure Energizes,Shamed you for it ... the structure of abuse ... something about transformation by liberation having SO MUCH ENERGY ... a mass-to-energy conversion,"Trauma, followed by innoculation (the paving over of the self), habits of control, withdrawl -- all supposing (perhaps over-optimistically) that some energy is being suppressed, pent-up, and will one day, has the potential to, EXPLODE","{liberation, sublimity, identity, materiality, abuse-structure}",6,
30,20,Escape Oppression,Avoid Mythological or Christian Images,"It's all been done. Yawn. Worse, the framework impedes novelty.<br><br>Unless you change the image into something new. What did Christ think of Isis? Uh oh, Isis. We veer suddenly into the history of the Middle East. Interesting.<br><br>Unless the culture is your own? Native-American myths ... only work in the mouth of the Native American? What does that mean?","Example: Kelly's Napa Valley, unlike much of her work, where the ""saint's bones"" seem pagan in intent, and ineffectual, powerless, in the face of inscrutable nature (""nature"" not doing justice to eldritch forces that Christians would call evil) ... and then there's the context of lynching that permeates the poem even as it is not recognized (might even be ""unintentional"")<br><br>Search to see if anybody has written about this; JStor article abstract not about race but mentions ""if Julia Kristeva is right about the importance of our acknowledging our own subjective heterogeneity""<br><br>Which leads to an article in the same journal, <br>Practicing Deconstruction, Again: Blindness, Insight and the Lovely Treachery of Words in D. H. Lawrence's ""The Blind Man"" <br><br>which leads to a kind of exhaustion .... so Fuck Authority<br><br>and then http://www.suburbansoliloquy.com/2012/09/the-heart-dies-of-this-sweetness.html",{nomyths},6,
31,20,Escape Oppression,Fuck Authority!,I don't care what you think (said to the voices in my head),"Also, trying to adhere to a rule-set strangles creativity.","{nojudging, noschools}",7,
32,20,Escape Oppression,Liberty,liberty in French,"also sublimity<br><br>but also coming back to community after the event, or founding your community on the concept","{liberation, sublimity, identity}",8,
33,30,Construct Community,Embrace Layshia I,"""I am an outsider even on the inside of every community to which I belong."" -- Layshia Clarendon.<br><br>""Love is not a moral argument.""<br><br>""I fell in love with Jesus and his radical love and non-conformity.""<br><br>""I'd never identified as a white woman or a black woman. I just existed. But as I got older, I had to reconcile those racial identities.""<br><br>""I identify as a black woman but gender is another social identity I've had to reconcile. Gender is largely a spectrum. I understand that my presentation is more masculine than not. Most people see me and attach any number of their own identities: gay, male, black. The front line of gender identity for me was -- and remains -- the bathroom.""","https://www.theplayerstribune.com/articles/layshia-clarendon-wnba-faith-sexuality<br><br>""The beauty of my whole story is that, for all of the tension between my social and racial identities, faith is what grounds me -- even as I work to rectify all of these parts of myself. I feel free of all the identities. If I weren't gay and black and non-cisgender, I wouldn't have the same relationship with God that I do. It's what pushed me to ask questions and seek him in ways I wouldn't have done otherwise. It's the one place -- my personal relationship with God -- where I always feel safe and included and welcome. It's the place where I don't have to carry the burden of being black in America. I don't have to carry the burden of walking into a bathroom and being mistaken for male. I don't have to carry the burden of wondering whether people are judging me morally for being gay or not.<br><br>I feel freedom and love. That's God.""",{identity},3,
34,30,Construct Community,Embrace Layshia II,"""Clarendon, who checks ""all the boxes of identity,""<br><br>true intersectionality, as Clarendon puts it, ""makes us more aware and attuned to the way things intersect with one another.""<br><br>She took her story and accompanying lawsuit public because she hoped it would empower other victims while taking the shame away from her and passing it onto her alleged assailant.<br><br>intersectionality. It's an exercise in assessing how we relate to the world, while doing our best to understand how someone else relates to the world given who they are, while also understanding how we relate to one another.<br><br>But if I create for them [whites], I'm not truly creating.<br><br>""I do see myself as a liberator,"" Clarendon said. ""I want my people to be free and I want everyone to be free. I want people to know their power and for us to know our collective power.""<br><br>What I've taken away from Clarendon is that intersectional understanding leads to compassion -- genuine, action-driven compassion. It leads to healing and growth, too. It's not easy, or even possible, to fully comprehend what every person is going through, but it is important to make an effort. How do I better understand someone who I may not have met or interacted with? I'm still working that out. But I do know that talking to Layshia Clarendon, and following the lead of folks like Layshia Clarendon, is a good start.",https://www.sfgate.com/sports/article/Rod-Benson-The-liberation-of-Layshia-Clarendon-15934276.php?IPID=SFGate-HP-CP-Spotlight,{identity},3,
35,30,Construct Community,Humility is Comfortable,"because you can say, I'm not trying to dominate, I'm just here, don't hurt me ....<br><br>Humility is sometimes negative self-effacement",,"{humility, identity}",3,
36,30,Construct Community,Create Narrative,Time is everywhere even as it stills or stalls in the present.,Storytelling embodies/creates the community,"{narrative, community}",4,
37,30,Construct Community,Use computer programs to create the poem.,Where can I do this?,"""Electronic Poetry"" seems extremely unfriendly. Broken links all over the place on the apparently defunct UbuWeb, and their title image is Beckett, d1989--so it's more a website to post versions of modernist artifacts. Similarly The Electronic Poetry Center has links to PDFs (!) on its home page.",{digital},4,
38,30,Construct Community,"Escape Typography; Write for the web, primarily","I love to think of the poem as _printed_, all done up in ink on paper, lovely typography, slight golden hue to the page, all that. One of my poems got printed, and is therefore almost impossible to find except I copied it on my site (legally, I think, with attribution). How much more _accessible_ is the poem on the internet. And if your primary venue is digital, why not make use of digital capabilities, or even just conventions?",Writing words in journals lets you draw too.<br><br>Space in digital is interesting to produce in a reliable (printable?!) way ...,{digital},5,
39,30,Construct Community,Community is Liberation from Oppression,"""Without community<br>there is no liberation, only the most vulnerable and temporary armistice between an<br>individual and her oppression."" -- Audre Lorde",,"{community, liberation, oppression}",5,
40,30,Construct Community,Embrace the Ephemerality of Expectation,"Poems are created by potential poets writing within intersections of potential schools.<br><br>If your poem is starting to belong to a school ... how does it feel? The poem I mean -- does it feel at home there? Is it better to pull back, contradict, deconstruct?<br><br>Quality is more fortuitous than demonstrable, a chance engagement.","Replace ""school"" with ""community""--sounds better, eh?","{community, quality}",6,
41,30,Construct Community,Allow Figures of Speech Their Own Authenticity,"Metaphors aren't metaphors; they are indicators of recapitulation. See D.A. Powell's remark in the Introduction to Tea, ""I do not understand metaphor."" Or Ocean Vuong saying, ""the practice of metaphor ... is the practice of compassion."" But they are talking about community. Identity is community, and the rights thereof, like me taking Powell's wrenching thought his personal relationships in the context of AIDS (an ""emotional violence"") and turning it into some cryptic literary aphorism; that is, I have no right to do that. Remove ... or discuss.<br><br>No word is an empty symbol of a separate reality.","http://intangiblewords.blogspot.com/2020/12/q-on-metaphors.html?m=0<br><br>Or creating a third entity from the interplay between material and meaning (Aristotle on metaphor), materiality and the word<br><br>Then there is Metaphorgate: https://twitter.com/_abelisaurus_/status/1330057648801198081<br><br>Appropriation is not ok ... appropriation means taking someone else's authentic expression and _degrading_ it by using it in some unseemly or disgusting manner, for advertising, or bad-faith profiteering ... so how instead can you _converse_ with that expression in a way that honors it even as you stake out your own authentic expression<br><br>Link to essay, On Metaphorgate","{metaphor, the_third, wcmh, appropriation}",6,
42,30,Construct Community,The Audience is with You,Let one speak while the others listen. They will have a turn.,,{audience},7,
43,30,Construct Community,Don't Be Boring,Avoid being either too comprehensible or too incomprehensible.<br><br>A poem without mystery will be dull by the second reading. Comprehending the obscure is as simple as accepting the a/effect in your body/brain.,This is really rule number one,{noboring},8,
44,30,Construct Consciousness,Imagine the History of Consciousness and Speech,A decade-by-decade list of poets and schools nearly (asymptotically!) zeroes out in the context of the whole of human history (imagine such time scales as the Long Now or even the Big Bang). <br><br>What was the first word? Was it the first example of consciousness? What if instead consciousness preceeded materiality?,,{evolution},5,
45,30,Construct Identity,Dreams are Real and Vice-Versa,Dreams may invade reality for better or worse. [picture of qanon shaman in the capitol on 1/6],,"{dream, wcmh}",3,
46,30,Construct Identity,Work between meaning and materiality,"Poetry investigates two moments: the becoming symbol of the word, and the dissolution of the word into materiality.<br><br>Words are not separate from things. They are things too.",Not just the journey from material to meaning but _the journey back to material again_<br><br>Words Are Things Too,"{materiality, meaning}",4,
47,30,Construct Identity,Remember Poems Actually Are Dreams,Poems are conduits for the unconscious; what is strange and outside comprehension is the most compelling and the most accurate.,Escaping is Constructing,"{dream, otherness}",4,
48,30,Construct Identity,Struggle to Mean,"""What does it mean"" is always a rhetorical question whose answer is ""I don't know."" But you do, don't you.","Writing as re-enacting trauma<br><br>Lee-sen to your body. The body cannot be escaped (though it can be modified, at some cost). Learn from Trans folks.","{trauma, body}",4,
49,30,Construct Identity,Maintain Integrity,"The primary activity, the focus that quiets the mind and its doubts, is the integrity of the activity, of the language, of the experience, of all.<br><br>One should care about the reader but only to the extent of maintaining the integrity of the relationship, but without compromise.",Constructing identity is constructing community; you are not alone in this,"{integrity, masculinity, authenticity}",5,
50,30,Construct Identity,Don't go searching for an image (a lifeless thing) to service an idea (also lifeless),Ideas are overrated. Aliveness is an expression of vast networks of interactions.<br><br>Poetry to re-enact the advent of consciousness and expand to address that vast potential.,,{noboring},5,
51,30,Construct Identity,Treat Writing as an Expanding Conveyance,Meaning expands outward and does not contract. Encourage the flow; let go control.,,"{liberation, flow, joy}",5,
52,30,Construct Identity,Digress,"Poetry tells linear narrative to fuck off and switches off unexpectedly, opening avenues of possibility, recontextualizing what came before. Every line is nice. _Digressing every word_ creates a suggestive collage. Try _every letter_, or every serif or eye (!), or grapheme or morpheme or _mark_ of any kind. Soon you're drawing, self-portrait of a scribbler.",https://designmodo.com/letterform/<br><br>Comfort and joy of playing with mud,"{materiality, narrative}",5,
53,30,Construct Identity,The Body Exists,"Your greatest authenticity is your own physical existence, even as it seems so separate from your ego identity",Even if you transform it to match that identity--why Trans folks are so fascinating,{choice},6,
54,30,Construct Identity,Say What You Mean,"In the final draft no choice of word, no diction, no mark or space, is random. Every mark on the page must have the integrity of intention.<br><br>Even if you are intentionally forcing randomness. You're not escaping.",The self you're creating is the one you are signing your name to (talk about anxiety!),{authenticity},7,
55,30,Construct Identity,Be Authentic,"Communicate authentically. Be earnest, humble, and above all straightforward. When possible, speak simply in the common vernacular.",,{authenticity},7,
56,30,Construct Identity,Embrace Identity,"It's what you have to work with, especially when others have negated it or shamed you for it.<br><br>Whiteness, in particular, isn't blankness, or a cypher, or a blank slate, or a desultory playground of relativism. What am I embracing if I embrace: white, male, cis, hetero ... ness?Lots of shit to subvert there, to be read that way, to own and atone one's ""privilege."" But also what else is there ... I am other to that ... I am here ...","Choosing is taking a stand ...<br><br>Constructing is analyzing what you are given and choosing what to accept (and now, The Serenity Prayer)","{identity, wcmh, history, liberation, choice}",7,
57,30,Construct Style,Employ Every Style,"Avoiding style is a style. One has to take a stand or one is nothing, 1=0, a zen koan.<br><br>Zen koans are good except when they are boring.<br><br>Cohesion is over-rated.","Expectation and Delight<br><br>Innovation delights the audience--breaking out of the comfort-zone of the communal, but not too far<br><br>Style/Form no longer indicates community","{style, community}",4,
58,40,Maintain Contradiction,Fuck Manifestoes!,Just to get us off on the right foot. ,"The statement is both an assertion (I am self-confident, I mean what I say) and a retraction (don't hurt me, I didn't really mean it).  Undermining speech is to innoculate from criticism by self-negation. <br><br>I'm not trying to lead a revolution (or am I?). ","{openness, assertion, retraction, irony}",8,
59,40,Maintain Contradiction,Contradict Yourself,"Updating Whitman slightly:<br><br>Do they contradict themselves?<br>Very well then they contradict themselves,<br>(They are large, they contain multitudes.)","Assert without retracting. This is about inclusion, not irony.<br><br>The multitudes within ""myself"" can be loud, obnoxious, inappropriate ... what do We (We?) do about Them?<br><br>Changing I to They is 1) making plural, 2) making indeterminate, potential positions on a spectrum","{inclusion, irony}",9,
